In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2020-04-11 21:30:00,2020-04-12 05:16:00,7:46,7:46,0,--,5:18,1:30,55,--,--
2020-04-12 22:09:00,2020-04-13 09:58:00,11:49,9:15,2:34,--,6:42,2:34,57,--,--
2020-04-13 19:15:00,2020-04-14 06:41:00,17:08,11:48,5:20,--,7:08,46,59,--,--
2020-04-14 20:15:00,2020-04-15 05:01:00,8:46,7:29,1:17,--,5:32,1:44,54,--,--
2020-04-15 21:30:00,2020-04-16 05:01:00,7:31,7:24,7,--,4:54,45,58,--,--
2020-04-16 22:45:00,2020-04-17 06:06:00,7:21,5:37,1:44,--,4:11,1:16,60,--,--
2020-04-17 22:42:00,2020-04-18 05:19:00,7:22,7:13,9,--,4:42,31,64,--,--
2020-04-18 22:27:00,2020-04-19 05:19:00,6:52,6:52,0,--,5:03,1:57,60,--,--
2020-04-19 20:45:00,2020-04-20 05:49:00,9:04,8:31,33,--,5:44,1:00,57,--,--
2020-04-20 22:32:00,2020-04-21 06:01:00,7:29,7:22,7,--,4:50,1:03,56,--,--
2020-04-21 23:45:00,2020-04-22 08:53:00,9:08,8:47,21,--,7:20,2:39,52,--,--
2020-04-23 21:45:00,2020-04-24 08:13:00,10:28,8:58,1:30,--,6:44,1:32,62,--,--
2020-04-24 22:49:00,2020-04-25 06:05:00,7:16,6:50,26,--,4:28,45,57,--,--
2020-04-25 21:15:00,2020-04-26 05:16:00,8:01,7:37,24,--,5:08,58,60,--,--
2020-04-26 22:45:00,2020-04-27 06:19:00,7:34,7:34,0,--,5:36,1:00,60,--,--
2020-04-27 21:00:00,2020-04-28 05:01:00,8:01,7:57,4,--,5:24,1:01,58,--,--
2020-04-28 22:12:00,2020-04-29 05:52:00,7:40,7:07,33,--,5:16,1:34,61,--,--
2020-04-29 22:46:00,2020-04-30 05:46:00,7:00,7:00,0,--,5:10,--,63,--,--
2020-04-30 22:45:00,2020-05-01 06:03:00,7:18,6:47,31,--,4:24,--,68,--,--
2020-05-01 20:30:00,2020-05-02 08:00:00,11:30,11:02,28,--,7:33,2:45,59,--,--
2020-05-02 21:48:00,2020-05-03 06:40:00,8:52,8:37,15,--,6:03,2:01,60,--,--
2020-05-03 22:33:00,2020-05-04 06:24:00,7:51,7:46,5,--,5:31,15,61,--,--
2020-05-04 21:06:00,2020-05-05 01:45:00,4:39,4:39,0,--,3:03,--,68,--,--
2020-05-05 21:30:00,2020-05-06 05:19:00,7:49,7:49,0,--,5:11,30,64,--,--
2020-05-06 22:45:00,2020-05-07 07:28:00,8:43,8:23,20,--,6:31,2:42,60,--,--
2020-05-07 19:31:00,2020-05-08 07:46:00,12:15,11:47,28,--,7:58,1:30,62,--,--
2020-05-08 22:01:00,2020-05-09 03:30:00,5:29,5:29,0,--,3:49,29,65,--,--
2020-05-09 21:00:00,2020-05-10 05:15:00,8:15,7:32,43,--,4:47,46,65,--,--
2020-05-10 19:58:00,2020-05-11 05:46:00,9:48,9:48,0,--,6:19,1:15,64,--,--
2020-05-11 22:22:00,2020-05-12 06:32:00,8:10,7:11,59,--,5:25,2:23,54,--,--
2020-05-12 22:00:00,2020-05-13 04:39:00,6:39,6:39,0,--,4:39,--,68,--,--
2020-05-13 21:15:00,2020-05-14 05:41:00,8:26,8:09,17,--,5:15,1:16,60,--,--
2020-05-14 23:00:00,2020-05-15 05:22:00,6:22,6:22,0,--,4:31,--,64,--,--
2020-05-15 20:48:00,2020-05-16 08:22:00,11:34,9:23,2:11,--,6:00,1:00,63,--,--
2020-05-16 20:15:00,2020-05-17 05:00:00,8:45,7:39,1:06,--,5:37,1:16,62,--,--
2020-05-17 21:45:00,2020-05-18 06:42:00,8:57,8:57,0,--,6:33,--,60,--,--
2020-05-18 20:44:00,2020-05-19 06:23:00,9:39,8:17,1:22,--,5:24,1:15,61,--,--
2020-05-19 22:45:00,2020-05-20 06:32:00,7:47,7:47,0,--,5:43,--,67,--,--
2020-05-20 21:56:00,2020-05-21 06:21:00,8:25,8:13,12,--,6:01,1:44,60,--,--
2020-05-21 20:00:00,2020-05-22 06:20:00,10:20,9:04,1:16,--,6:37,2:24,66,--,--
2020-05-23 21:16:00,2020-05-24 05:00:00,7:44,5:46,1:58,--,3:57,45,60,--,--
2020-05-24 22:15:00,2020-05-25 05:02:00,6:47,6:29,18,--,4:55,1:14,66,--,--
