In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2019-12-09 20:31:00,2019-12-10 05:38:00,9:07,8:55,12,--,5:49,1:47,63,--,--
2019-12-10 22:45:00,2019-12-11 05:41:00,6:56,6:46,10,--,4:35,1:33,65,--,--
2019-12-11 21:14:00,2019-12-12 05:00:00,7:46,7:37,9,--,5:13,1:57,63,--,--
2019-12-12 20:45:00,2019-12-13 06:11:00,9:26,7:52,1:34,--,5:19,1:46,64,--,--
2019-12-13 20:44:00,2019-12-14 05:00:00,10:33,9:44,49,--,6:06,2:15,65,--,--
2019-12-14 19:47:00,2019-12-15 05:00:00,9:13,8:31,42,--,5:29,1:00,63,😀,--
2019-12-15 21:57:00,2019-12-16 05:45:00,7:48,6:35,1:13,--,3:57,1:24,62,--,--
2019-12-16 20:25:00,2019-12-17 06:43:00,10:18,8:31,1:47,--,5:22,2:15,59,--,--
2019-12-17 21:45:00,2019-12-18 03:20:00,5:35,4:30,1:05,--,2:29,1:11,70,--,--
2019-12-18 23:09:00,2019-12-19 05:58:00,6:49,4:42,2:07,--,2:28,59,66,--,--
2019-12-19 22:59:00,2019-12-20 04:59:00,6:00,4:26,1:34,--,2:58,--,79,--,--
2019-12-20 21:00:00,2019-12-21 03:47:00,6:47,5:48,59,--,3:58,2:06,67,--,--
2019-12-21 19:23:00,2019-12-22 04:42:00,9:19,7:18,2:01,--,3:50,28,67,--,--
2019-12-22 22:04:00,2019-12-23 05:00:00,6:56,6:56,0,--,3:56,2:13,63,--,--
2019-12-23 23:59:00,2019-12-24 07:49:00,7:50,7:02,48,--,4:03,1:30,65,--,--
2019-12-24 20:15:00,2019-12-25 06:45:00,10:30,10:10,20,--,6:57,1:49,58,--,--
2019-12-25 19:18:00,2019-12-26 05:28:00,10:10,9:37,33,--,6:39,1:02,62,--,--
2019-12-26 21:46:00,2019-12-27 04:57:00,7:39,7:11,28,--,4:46,29,63,--,--
2019-12-27 19:40:00,2019-12-28 04:51:00,9:11,8:53,18,--,5:48,1:31,63,--,--
2019-12-28 19:01:00,2019-12-29 05:14:00,10:54,8:59,1:55,--,5:23,45,63,--,--
2019-07-14 22:04:00,2019-07-15 05:47:00,7:43,6:53,50,--,4:32,45,60,--,--
2019-07-15 19:45:00,2019-07-16 04:00:00,8:15,8:01,14,--,5:26,1:15,65,--,--
2019-07-16 22:00:00,2019-07-17 06:36:00,8:36,8:01,35,--,4:48,15,70,--,--
2019-07-18 21:45:00,2019-07-19 04:37:00,6:52,5:49,1:03,--,4:24,1:03,74,--,--
2019-07-19 22:00:00,2019-07-20 06:15:00,8:15,6:23,1:52,--,4:28,1:28,67,--,--
2019-07-20 22:15:00,2019-07-21 04:26:00,6:11,6:11,0,--,4:33,1:48,63,--,--
2019-07-21 21:29:00,2019-07-22 04:13:00,6:44,6:22,22,--,4:23,--,73,--,--
2019-07-22 19:30:00,2019-07-23 04:43:00,9:13,8:30,43,--,5:47,1:15,73,--,--
2019-07-23 22:38:00,2019-07-24 02:17:00,3:39,2:56,43,--,2:06,44,66,--,--
2019-07-24 23:15:00,2019-07-25 05:46:00,6:31,5:53,38,--,3:48,--,75,--,--
2019-07-25 22:26:00,2019-07-26 04:38:00,6:12,4:48,1:24,--,3:24,33,67,--,--
2019-07-26 21:00:00,2019-07-27 07:16:00,10:16,8:27,1:49,--,6:06,2:06,66,--,--
2019-07-27 22:30:00,2019-07-28 04:31:00,6:01,5:22,39,--,3:37,1:52,61,--,--
2019-07-28 21:01:00,2019-07-29 04:19:00,7:18,7:04,14,--,4:53,15,66,--,--
2019-07-30 21:31:00,2019-07-31 03:31:00,6:00,5:12,48,--,3:15,31,65,--,--
2019-07-31 22:00:00,2019-08-01 04:31:00,6:31,5:43,48,--,3:35,--,72,--,--
2019-08-01 21:54:00,2019-08-02 04:46:00,6:52,6:26,26,--,4:51,1:48,58,--,--
2019-08-02 21:15:00,2019-08-03 05:00:00,7:45,5:53,1:52,--,3:58,1:16,70,--,--
2019-08-03 22:45:00,2019-08-04 05:51:00,7:06,3:50,3:16,--,3:59,2:26,57,--,--
2019-08-04 21:45:00,2019-08-05 04:04:00,6:19,2:44,3:35,--,2:18,1:29,58,--,--
2019-08-05 23:00:00,2019-08-06 04:38:00,5:38,3:46,1:52,--,2:39,34,64,--,--
2019-08-06 21:32:00,2019-08-07 05:01:00,7:29,6:37,52,--,3:28,--,85,--,--
2019-08-07 20:11:00,2019-08-08 05:00:00,8:49,8:34,15,--,6:18,1:15,69,--,--
2019-08-08 22:00:00,2019-08-09 04:42:00,6:42,5:41,1:01,--,3:59,46,75,--,--
2019-08-09 23:13:00,2019-08-10 04:30:00,7:08,6:01,1:07,--,4:09,1:22,66,--,--
2019-08-10 23:07:00,2019-08-11 04:36:00,5:29,4:15,1:14,--,2:37,1:00,64,--,--
2019-08-11 19:45:00,2019-08-12 06:30:00,10:45,9:17,1:28,--,6:47,3:10,57,--,--
2019-08-12 21:00:00,2019-08-13 05:02:00,8:02,7:34,28,--,4:48,1:33,62,--,--
2019-08-13 22:40:00,2019-08-14 04:03:00,5:23,4:40,43,--,2:59,1:48,58,--,--
2019-08-15 00:23:00,2019-08-15 05:59:00,5:36,5:36,0,--,3:43,--,79,--,--
2019-08-15 22:43:00,2019-08-16 03:47:00,5:04,5:04,0,--,3:30,1:31,62,--,--
2019-08-16 20:14:00,2019-08-17 07:44:00,11:30,6:56,4:34,--,5:39,1:15,68,--,--
2019-08-18 00:07:00,2019-08-18 05:42:00,5:35,4:57,38,--,3:57,2:20,61,--,--
2019-08-18 21:56:00,2019-08-19 06:31:00,8:35,8:02,33,--,5:27,1:36,59,--,--
2019-08-19 21:45:00,2019-08-20 05:00:00,7:15,7:01,14,--,4:54,45,65,--,--
2019-08-20 21:03:00,2019-08-21 07:47:00,10:44,9:14,1:30,--,6:30,2:03,66,--,--
2019-08-21 22:22:00,2019-08-22 05:47:00,7:25,7:17,8,--,5:11,30,69,--,--
2019-08-22 21:31:00,2019-08-23 05:01:00,7:30,7:06,24,--,4:49,1:16,63,--,--
2019-08-24 01:00:00,2019-08-24 05:46:00,5:18,5:18,0,--,3:46,16,75,--,--
2019-08-24 23:50:00,2019-08-25 04:49:00,4:59,4:59,0,--,3:10,1:18,61,--,--
2019-08-25 22:00:00,2019-08-26 05:00:00,7:00,6:50,10,--,4:48,15,70,--,--
2019-08-26 22:30:00,2019-08-27 05:00:00,6:30,6:30,0,--,4:37,15,69,--,--
2019-08-27 21:16:00,2019-08-28 06:17:00,9:01,8:09,52,--,4:59,1:46,64,--,--
2019-08-29 01:00:00,2019-08-29 06:28:00,5:28,4:02,1:26,--,3:28,2:01,62,--,--
2019-08-29 21:43:00,2019-08-30 06:45:00,9:02,7:40,1:22,--,5:01,1:14,59,--,--
2019-08-30 22:11:00,2019-08-31 05:01:00,6:50,6:09,41,--,3:50,1:13,62,--,--
2019-08-31 22:44:00,2019-09-01 05:01:00,6:17,6:17,0,--,4:19,43,65,--,--
2019-09-02 21:42:00,2019-09-03 05:55:00,8:13,7:29,44,--,5:03,1:44,64,--,--
2019-09-03 22:10:00,2019-09-04 03:32:00,5:22,3:24,1:58,--,2:13,1:02,61,--,--
2019-09-04 21:45:00,2019-09-05 04:14:00,6:29,5:07,1:22,--,3:22,43,63,--,--
2019-09-05 22:15:00,2019-09-06 06:01:00,7:46,7:46,0,--,5:30,45,78,--,--
2019-09-07 21:30:00,2019-09-08 05:55:00,8:25,7:32,53,--,5:30,1:36,56,--,--
2019-09-08 21:42:00,2019-09-09 05:00:00,7:18,5:21,1:57,--,3:08,55,55,--,--
2019-09-09 20:30:00,2019-09-10 09:30:00,13:00,8:38,4:22,--,5:51,1:16,58,--,--
2019-09-10 19:59:00,2019-09-11 05:00:00,9:01,8:01,1:00,--,5:01,1:15,66,--,--
2019-09-11 20:56:00,2019-09-12 04:29:00,7:33,6:34,59,--,4:03,47,65,--,--
2019-09-12 23:12:00,2019-09-13 04:56:00,5:44,5:44,0,--,3:48,15,73,--,--
2019-09-13 23:00:00,2019-09-14 07:16:00,8:16,6:28,1:48,--,4:22,46,65,--,--
2019-09-14 22:45:00,2019-09-15 05:18:00,6:33,6:24,9,--,4:09,15,65,--,--
2019-09-15 21:07:00,2019-09-16 04:28:00,7:21,6:32,49,--,4:55,2:16,63,--,--
2019-09-16 21:27:00,2019-09-17 04:34:00,7:07,6:42,25,--,4:12,--,69,--,--
2019-09-17 21:14:00,2019-09-18 05:17:00,8:03,8:03,0,--,5:07,58,59,--,--
2019-09-18 21:17:00,2019-09-19 03:30:00,6:40,5:48,52,--,4:39,2:11,67,--,--
2019-09-19 21:00:00,2019-09-20 07:48:00,10:48,10:09,39,--,7:13,2:13,60,--,--
2019-09-20 23:20:00,2019-09-21 04:30:00,5:41,5:40,1,--,3:47,1:01,61,--,--
2019-09-21 23:15:00,2019-09-22 08:18:00,9:03,8:20,43,--,4:20,1:15,60,--,--
2019-09-22 21:09:00,2019-09-23 03:46:00,6:37,5:21,1:16,--,3:37,1:04,60,--,--
2019-09-23 21:00:00,2019-09-24 05:08:00,8:08,7:09,59,--,4:56,2:02,56,--,--
2019-09-24 21:16:00,2019-09-25 05:58:00,8:42,6:16,2:26,--,3:39,--,69,--,--
2019-09-25 21:15:00,2019-09-26 04:49:00,7:34,7:08,26,--,4:49,--,73,--,--
2019-09-26 22:00:00,2019-09-27 04:30:00,7:14,6:46,28,--,4:45,1:30,64,--,--
2019-09-27 20:00:00,2019-09-28 03:29:00,7:59,7:59,0,--,4:25,44,66,--,--
2019-09-28 21:16:00,2019-09-29 05:01:00,7:45,7:14,31,--,4:54,1:29,58,--,--
2019-09-29 20:15:00,2019-09-30 04:33:00,8:18,8:14,4,--,5:13,1:32,59,--,--
2019-09-30 21:50:03,2019-10-01 05:18:00,7:27,6:02,1:25,1:14,4:12,1:34,68,--,--
2019-10-01 20:25:00,2019-10-02 04:33:00,8:08,7:52,16,--,5:00,1:13,66,--,--
2019-10-02 20:41:58,2019-10-03 06:49:00,10:07,7:39,2:28,3,4:46,1:28,64,--,--
2019-10-03 20:30:00,2019-10-04 05:00:00,8:30,8:19,11,--,5:58,2:16,68,--,--
2019-10-04 20:20:00,2019-10-05 05:17:00,9:27,6:25,3:02,--,4:03,1:28,64,--,--
2019-10-05 20:00:00,2019-10-06 05:09:00,9:09,9:04,5,--,5:37,1:33,60,--,--
2019-04-21 21:42:00,2019-04-22 05:00:00,7:18,7:18,0,--,5:02,29,66,--,--
2019-04-22 21:10:00,2019-04-23 04:41:00,7:31,6:47,44,--,5:32,1:02,73,--,--
2019-04-23 21:13:00,2019-04-24 05:46:00,8:33,6:34,1:59,--,5:02,1:00,67,--,--
2019-04-25 21:09:00,2019-04-26 07:01:00,9:52,9:33,19,--,7:28,1:21,71,--,--
2019-04-27 22:31:00,2019-04-28 06:46:00,8:15,5:54,2:21,--,5:46,3:22,59,--,--
2019-05-11 22:11:00,2019-05-12 08:00:00,9:49,8:22,1:27,--,6:37,1:46,68,--,--
2019-05-12 20:46:00,2019-05-13 05:01:00,8:15,8:15,0,--,6:03,30,72,--,--
2019-05-13 21:30:00,2019-05-14 06:21:00,8:51,7:59,52,--,5:51,2:03,64,--,--
2019-05-14 21:32:00,2019-05-15 06:09:00,8:37,8:03,34,--,4:58,1:17,64,--,--
2019-05-15 21:59:00,2019-05-16 07:06:00,9:07,8:26,41,--,6:51,2:43,64,--,--
2019-05-16 21:42:00,2019-05-17 07:02:00,9:20,9:04,16,--,6:49,31,72,--,--
2019-05-17 21:00:00,2019-05-18 06:54:00,9:54,9:26,28,--,7:40,2:21,72,--,--
2019-05-18 23:00:00,2019-05-19 07:26:00,8:26,8:23,3,--,6:25,2:01,67,--,--
2019-05-20 00:16:00,2019-05-20 07:12:00,6:56,6:42,14,--,5:17,1:04,64,--,--
2019-05-20 23:44:00,2019-05-21 04:45:00,5:01,1:57,3:04,--,1:43,33,63,--,--
2019-05-21 22:00:00,2019-05-22 05:45:00,7:45,7:45,0,--,5:17,45,69,--,--
2019-05-22 21:11:00,2019-05-23 06:02:00,8:51,8:51,0,--,5:58,14,75,--,--
2019-05-23 21:45:00,2019-05-24 06:38:00,8:53,7:28,1:25,--,4:54,1:52,70,--,--
2019-05-24 21:15:00,2019-05-25 05:46:00,8:31,8:24,7,--,6:43,45,74,--,--
2019-05-25 21:31:00,2019-05-26 05:20:00,7:49,7:49,0,--,5:47,1:45,66,--,--
2019-05-26 21:45:00,2019-05-27 05:01:00,7:16,6:52,24,--,4:47,30,73,--,--
2019-05-27 23:45:00,2019-05-28 06:10:00,6:25,6:11,14,--,4:35,1:48,61,--,--
2019-05-29 01:31:00,2019-05-29 06:46:00,5:15,5:15,0,--,3:59,1:30,63,--,--
2019-05-29 21:00:00,2019-05-30 05:35:00,8:35,8:22,13,--,6:26,1:31,62,--,--
2019-05-30 22:30:00,2019-05-31 05:18:00,6:48,6:25,23,--,4:51,--,75,--,--
2019-05-31 22:25:00,2019-06-01 04:30:00,6:05,5:22,43,--,3:20,16,65,--,--
2019-06-01 23:45:00,2019-06-02 06:01:00,6:16,6:14,2,--,4:00,1:02,69,--,--
2019-06-02 22:55:00,2019-06-03 04:53:00,5:58,5:32,26,--,4:23,2:06,61,--,--
2019-06-03 20:45:00,2019-06-04 03:53:00,7:08,6:18,50,--,4:06,30,73,--,--
2019-06-04 21:13:00,2019-06-05 05:28:00,8:15,7:25,50,--,5:17,49,70,--,--
2019-06-05 23:18:00,2019-06-06 05:37:00,6:19,6:19,0,--,5:07,2:16,66,--,--
2019-06-06 22:40:00,2019-06-07 03:58:00,5:18,1:58,3:20,--,1:59,59,63,--,--
2019-06-07 20:30:00,2019-06-08 05:07:00,8:37,8:37,0,--,6:25,2:01,66,--,--
2019-06-08 19:30:00,2019-06-09 04:15:00,9:25,9:25,0,--,9:05,20,61,--,--
2019-06-09 22:15:00,2019-06-10 05:53:00,7:38,7:18,20,--,4:51,1:02,62,--,--
2019-06-10 22:00:00,2019-06-11 04:05:00,6:05,6:00,5,--,3:59,1:05,67,--,--
2019-06-11 21:00:00,2019-06-12 05:19:00,8:19,7:10,1:09,--,4:16,29,67,--,--
2019-06-12 22:45:00,2019-06-13 02:59:00,4:14,3:43,31,--,2:12,--,89,--,--
2019-06-13 21:15:00,2019-06-14 04:07:00,6:52,6:34,18,--,4:10,1:30,66,--,--
2019-06-14 21:29:00,2019-06-15 03:28:00,5:59,5:42,17,--,3:36,14,73,--,--
2019-06-15 21:00:00,2019-06-16 03:32:00,6:32,5:48,44,--,3:14,31,71,--,--
2019-06-16 22:15:00,2019-06-17 05:00:00,6:45,4:53,1:52,--,3:01,30,63,--,--
2019-06-17 22:30:00,2019-06-18 06:30:00,8:00,6:28,1:32,--,4:10,15,71,--,--
2019-06-18 22:26:00,2019-06-19 05:00:00,6:34,5:54,40,--,4:10,56,66,--,--
2019-06-19 22:15:00,2019-06-20 06:17:00,8:02,6:17,1:45,--,4:17,1:02,65,--,--
2019-06-20 23:45:00,2019-06-21 05:00:00,5:15,4:23,52,--,2:44,29,67,--,--
2019-06-21 22:08:00,2019-06-22 04:38:00,6:30,6:04,26,--,4:35,1:34,68,--,--
2019-06-23 00:09:00,2019-06-23 06:01:00,5:52,5:28,24,--,3:03,42,66,--,--
2019-06-23 21:30:00,2019-06-24 07:16:00,9:46,8:59,47,--,6:48,3:04,64,--,--
2019-06-24 21:15:00,2019-06-25 06:01:00,8:46,8:18,28,--,6:10,1:20,70,--,--
2019-06-25 22:16:00,2019-06-26 02:59:00,4:43,3:33,1:10,--,2:27,--,77,--,--
2019-06-26 20:28:00,2019-06-27 06:13:00,9:45,8:43,1:02,--,5:45,2:03,70,--,--
2019-06-27 20:41:00,2019-06-28 05:42:00,9:01,8:22,39,--,5:54,1:16,67,--,--
2019-06-28 21:45:00,2019-06-29 03:31:00,5:46,5:46,0,--,4:21,--,86,--,--
2019-06-29 21:30:00,2019-06-30 05:40:00,8:10,7:58,12,--,6:03,1:47,71,--,--
2019-06-30 21:30:00,2019-07-01 04:01:00,6:31,6:31,0,--,4:25,45,69,--,--
2019-07-01 21:54:00,2019-07-02 05:01:00,7:07,6:13,54,--,4:33,1:17,71,--,--
2019-07-02 23:30:00,2019-07-03 08:03:00,8:33,7:59,34,--,5:12,1:32,71,--,--
2019-07-04 02:01:00,2019-07-04 08:01:00,6:00,6:00,0,--,4:13,15,74,--,--
2019-07-04 21:15:00,2019-07-05 05:00:00,7:45,4:46,2:59,--,3:27,1:19,62,--,--
2019-07-05 22:00:00,2019-07-06 05:00:00,7:00,6:37,23,--,4:51,--,69,--,--
2019-07-06 22:01:00,2019-07-07 02:45:00,6:04,5:26,38,--,3:23,31,59,--,--
2019-07-07 20:29:00,2019-07-08 08:01:00,11:32,10:27,1:05,--,7:06,1:44,58,--,--
2019-07-08 22:15:00,2019-07-09 06:22:00,8:07,6:57,1:10,--,4:10,44,68,--,--
2019-07-09 23:00:00,2019-07-10 07:26:00,8:26,6:50,1:36,--,4:46,1:00,65,--,--
2019-07-10 20:24:00,2019-07-11 05:18:00,8:54,8:06,48,--,5:26,1:00,67,--,--
2019-07-11 23:35:00,2019-07-12 05:00:00,5:25,5:09,16,--,3:52,--,82,--,--
2019-07-12 22:17:00,2019-07-13 05:01:00,6:44,6:32,12,--,4:39,2:00,67,--,--
2019-07-13 22:45:00,2019-07-14 05:28:00,6:43,6:43,0,--,4:46,1:02,67,--,--
2019-01-27 21:27:00,2019-01-28 04:56:00,7:29,7:29,0,--,5:47,1:32,60,--,--
2019-01-28 21:04:00,2019-01-29 05:14:00,8:10,7:38,32,--,6:19,2:57,64,--,--
2019-01-29 21:25:00,2019-01-30 04:30:00,7:05,6:50,15,--,4:45,43,64,--,--
2019-01-30 21:34:00,2019-01-31 05:39:00,8:05,6:48,1:17,--,5:23,1:12,58,--,--
2019-02-01 21:44:00,2019-02-02 07:18:00,9:34,7:36,1:58,--,5:13,14,67,--,--
2019-02-02 22:56:00,2019-02-03 04:28:00,5:32,3:33,1:59,--,3:30,2:01,58,--,--
2019-02-03 21:03:00,2019-02-04 04:24:00,7:21,7:21,0,--,5:54,2:01,56,--,--
2019-02-04 21:27:00,2019-02-05 06:17:00,8:50,7:18,1:32,--,5:00,45,61,--,--
2019-02-05 21:21:00,2019-02-06 06:01:00,8:40,6:54,1:46,--,5:28,1:50,59,--,--
2019-02-06 21:30:00,2019-02-07 03:25:00,5:55,5:12,43,--,5:01,2:51,59,--,--
2019-02-07 21:57:00,2019-02-08 04:44:00,6:47,6:47,0,--,5:57,2:45,62,--,--
2019-02-08 22:44:00,2019-02-09 04:46:00,7:45,7:16,29,--,5:08,1:00,60,--,--
2019-02-09 20:27:00,2019-02-10 04:41:00,9:09,8:03,1:06,--,6:02,1:43,60,--,--
2019-02-10 21:26:00,2019-02-11 07:57:00,10:31,7:06,3:25,--,5:50,2:31,62,--,--
2019-02-11 21:26:00,2019-02-12 06:17:00,8:51,8:21,30,--,3:40,29,68,--,--
2019-02-12 20:38:00,2019-02-13 04:43:00,8:05,7:41,24,--,6:08,2:02,62,--,--
2019-02-13 21:29:00,2019-02-14 04:27:00,6:58,5:45,1:13,--,4:51,1:36,69,--,--
2019-02-14 21:18:00,2019-02-15 05:00:00,7:42,7:42,0,--,7:20,3:28,67,--,--
2019-02-16 22:57:00,2019-02-17 08:14:00,9:17,7:44,1:33,--,6:36,3:29,59,--,--
2019-02-17 20:46:00,2019-02-18 04:59:00,8:13,7:56,17,--,6:07,2:13,62,--,--
2019-02-18 22:01:00,2019-02-19 05:46:00,7:45,5:50,1:55,--,3:59,1:19,66,--,--
2019-02-19 20:46:00,2019-02-20 07:03:00,10:17,9:04,1:13,--,6:28,1:45,68,--,--
2019-02-20 21:29:00,2019-02-21 05:30:00,8:01,7:43,18,--,7:07,3:20,66,--,--
2019-02-21 22:33:00,2019-02-22 04:30:00,5:57,4:53,1:04,--,5:27,4:13,66,--,--
2019-02-23 00:34:00,2019-02-23 08:00:00,7:26,5:29,1:57,--,4:24,16,76,--,--
2019-02-23 21:56:56,2019-02-24 04:35:00,6:38,6:35,3,3,5:38,1:46,63,--,--
2019-02-24 21:53:00,2019-02-25 06:44:00,8:51,8:13,38,--,5:07,2:11,64,--,--
2019-02-25 21:01:37,2019-02-26 04:50:00,7:48,6:33,1:15,1:15,4:47,1:00,71,--,--
2019-02-26 21:25:00,2019-02-27 06:17:00,8:52,8:03,49,--,6:15,2:15,70,--,--
2019-02-27 22:00:00,2019-02-28 05:00:00,7:00,7:00,0,--,6:30,3:00,69,--,--
2019-03-01 00:00:00,2019-03-01 06:00:00,6:00,5:37,23,--,3:49,16,83,--,--
2019-03-01 21:56:00,2019-03-02 05:45:00,7:49,3:57,3:52,--,4:22,2:57,75,--,--
2019-03-02 22:15:00,2019-03-03 06:01:00,7:46,7:23,23,--,6:00,2:17,66,--,--
2019-03-03 20:30:00,2019-03-04 04:57:00,8:27,8:21,6,--,7:13,1:15,69,--,--
2019-03-04 21:13:00,2019-03-05 06:47:00,9:34,8:55,39,--,7:24,3:03,71,--,--
2019-03-05 20:53:00,2019-03-06 05:05:00,8:12,8:12,0,--,6:26,2:03,66,--,--
2019-03-06 21:44:00,2019-03-07 06:34:00,8:50,8:39,11,--,7:45,3:24,72,--,--
2019-03-08 22:38:00,2019-03-09 04:00:00,5:22,2:49,2:33,--,2:52,1:24,71,--,--
2019-03-09 21:59:00,2019-03-10 05:52:00,6:53,6:47,6,--,5:25,46,68,--,--
2019-03-10 21:30:00,2019-03-11 06:00:00,8:30,8:06,24,--,6:43,2:36,61,--,--
2019-03-11 21:47:00,2019-03-12 07:10:00,9:23,8:46,37,--,6:20,1:48,61,--,--
2019-03-12 20:50:00,2019-03-13 06:46:00,9:56,9:32,24,--,7:06,1:32,62,--,--
2019-03-13 23:45:00,2019-03-14 06:21:00,6:36,6:24,12,--,5:50,2:13,67,--,--
2019-03-14 21:16:00,2019-03-15 05:00:00,7:44,7:28,16,--,6:37,2:29,60,--,--
2019-03-15 21:31:00,2019-03-16 05:00:00,7:29,3:44,3:45,--,3:12,1:08,69,--,--
2019-03-16 22:11:00,2019-03-17 05:00:00,6:49,2:50,3:59,--,3:09,2:28,63,--,--
2019-03-17 21:01:02,2019-03-18 05:00:00,7:58,7:06,52,52,6:17,2:12,64,--,--
2019-03-18 20:30:00,2019-03-19 06:47:00,10:17,8:26,1:51,--,6:23,1:59,64,--,--
2019-03-19 23:00:00,2019-03-20 06:15:00,7:15,6:45,30,--,3:13,28,68,--,--
2019-03-20 21:11:00,2019-03-21 07:01:00,9:50,9:15,35,--,7:06,30,72,--,--
2019-03-21 21:15:00,2019-03-22 06:31:00,9:16,8:46,30,--,7:10,2:34,66,--,--
2019-03-22 22:22:00,2019-03-23 05:52:00,7:30,7:24,6,--,5:44,31,72,--,--
2019-03-23 22:46:00,2019-03-24 06:31:00,7:45,7:25,20,--,5:42,1:19,67,--,--
2019-03-25 21:00:26,2019-03-26 07:01:00,10:00,8:08,1:52,59,5:36,1:16,61,--,--
2019-03-26 22:30:00,2019-03-27 06:45:00,8:15,6:10,2:05,--,4:26,1:17,63,--,--
2019-03-27 23:30:00,2019-03-28 07:01:00,7:31,7:31,0,--,5:51,1:15,71,--,--
2019-03-29 00:30:00,2019-03-29 09:02:00,8:32,4:29,4:03,--,3:15,14,75,--,--
2019-03-29 21:15:00,2019-03-30 04:55:00,7:40,7:40,0,--,5:50,2:02,69,--,--
2019-03-30 22:00:00,2019-03-31 05:10:00,7:10,6:31,39,--,4:51,1:49,63,--,--
2019-03-31 19:47:00,2019-04-01 04:56:00,9:09,8:23,46,--,5:25,1:18,62,--,--
2019-04-01 20:26:25,2019-04-02 05:00:00,8:33,7:35,58,5,5:22,1:15,64,--,--
2019-04-02 21:15:00,2019-04-03 04:44:00,7:29,6:33,56,--,4:36,1:30,67,--,--
2019-04-03 21:57:00,2019-04-04 04:30:00,6:33,6:03,30,--,5:27,2:22,70,--,--
2019-04-04 22:00:00,2019-04-05 06:51:00,8:51,7:34,1:17,--,5:11,--,79,--,--
2019-04-05 22:14:00,2019-04-06 04:15:00,6:01,4:18,1:43,--,4:45,3:43,66,--,--
2019-04-07 20:39:00,2019-04-08 05:00:00,8:21,8:19,2,--,6:12,1:30,65,--,--
2019-04-08 20:45:00,2019-04-09 07:21:00,10:36,8:04,2:32,--,5:35,1:18,65,--,--
2019-04-09 21:15:00,2019-04-10 01:36:00,4:21,4:21,0,--,2:44,15,64,--,--
2019-04-10 21:31:00,2019-04-11 05:06:00,7:35,7:27,8,--,5:22,46,62,--,--
2019-04-11 22:15:00,2019-04-12 05:09:00,6:54,6:54,0,--,4:56,1:16,61,--,--
2019-04-12 21:46:00,2019-04-13 07:06:00,9:20,8:31,49,--,5:28,1:51,62,--,--
2019-04-13 22:00:00,2019-04-14 07:14:00,9:14,8:57,17,--,5:22,29,65,--,--
2019-04-14 21:45:00,2019-04-15 06:40:00,8:55,8:33,22,--,6:02,1:48,58,--,--
2019-04-16 21:31:00,2019-04-17 05:32:00,8:01,7:47,14,--,5:40,1:30,70,--,--
2019-04-17 22:00:00,2019-04-18 06:14:00,8:14,7:01,1:13,--,5:27,1:12,68,--,--
2019-04-18 21:15:00,2019-04-19 07:11:00,9:56,9:49,7,--,7:36,1:33,67,--,--
2019-04-20 21:50:00,2019-04-21 06:45:00,8:55,8:50,5,--,7:03,2:51,62,--,--
2018-11-04 19:41:00,2018-11-05 04:31:00,8:50,6:05,2:45,--,5:26,3:17,55,--,--
2018-11-05 20:41:32,2018-11-06 04:29:00,7:47,6:29,1:18,1:18,4:14,1:44,60,--,--
2018-11-06 20:52:55,2018-11-07 04:30:00,7:37,6:42,55,55,4:43,59,55,--,--
2018-11-07 21:04:54,2018-11-08 04:29:00,7:24,6:46,38,10,5:45,2:00,57,--,--
2018-11-08 21:11:17,2018-11-09 04:56:00,7:44,6:08,1:36,13,4:38,1:10,57,--,--
2018-11-09 22:30:00,2018-11-10 05:30:00,7:00,3:03,3:57,--,2:24,28,62,--,--
2018-11-10 20:12:00,2018-11-11 06:58:00,10:46,9:49,57,--,7:02,1:24,53,--,--
2018-11-11 18:31:58,2018-11-12 05:34:00,11:02,8:12,2:50,1:08,5:55,1:26,53,--,--
2018-11-12 20:00:00,2018-11-13 01:44:00,5:44,5:44,0,--,4:24,1:14,51,--,--
2018-11-13 20:59:00,2018-11-14 04:19:00,7:20,2:54,4:26,--,2:19,--,70,--,--
2018-11-14 20:00:00,2018-11-15 02:00:00,6:30,6:30,0,--,--,--,--,--
2018-11-15 21:27:00,2018-11-16 05:26:00,7:59,5:50,2:09,--,4:28,45,56,--,--
2018-11-16 23:40:00,2018-11-17 05:00:00,5:20,5:20,0,--,3:45,1:27,56,--,--
2018-11-17 23:29:00,2018-11-18 05:01:00,5:32,5:13,19,--,4:19,1:59,58,--,--
2018-11-18 21:15:00,2018-11-19 06:00:00,8:45,8:00,45,--,--,--,--,--
2018-11-19 20:02:48,2018-11-20 04:44:00,8:41,8:00,41,24,5:40,1:12,56,--,--
2018-11-20 21:01:48,2018-11-21 04:43:00,7:41,6:33,1:08,1:08,4:00,1:27,59,--,--
2018-11-21 22:11:00,2018-11-22 06:59:00,8:48,8:05,43,--,5:40,1:25,60,--,--
2018-11-22 21:15:00,2018-11-23 09:00:00,11:45,8:15,3:30,--,--,--,--,--
2018-11-24 01:00:00,2018-11-24 11:00:00,10:00,7:00,3:00,--,--,--,--,--
2018-11-24 22:30:00,2018-11-25 05:00:00,6:30,6:30,0,--,--,--,--,--
2018-11-25 20:15:00,2018-11-26 04:00:00,7:45,7:45,0,--,--,--,--,--
